Title,Director,Cast,Year,Language,movie_info
Check,Chandra Sekhar Yeleti,NithiinRakul Preet SinghPriya Prakash VarrierSampath Raj,2021,Telugu,Movie Title: Check. Directed by: Chandra Sekhar Yeleti. Starring: NithiinRakul Preet SinghPriya Prakash VarrierSampath Raj. Released in: 2021.
Akshara,B.Chinni Krishna,Nandita SwethaAjay GhoshShakalaka ShankarK. SivasankarSatyaMadhunandan,2021,Telugu,Movie Title: Akshara. Directed by: B.Chinni Krishna. Starring: Nandita SwethaAjay GhoshShakalaka ShankarK. SivasankarSatyaMadhunandan. Released in: 2021.
Ninnila Ninnila,Ani I V Sasi,Ashok SelvanNithya MenonRitu VarmaNassarSatya,2021,Telugu,Movie Title: Ninnila Ninnila. Directed by: Ani I V Sasi. Starring: Ashok SelvanNithya MenonRitu VarmaNassarSatya. Released in: 2021.
A1 Express,Dennis Jeevan Kanukolanu,Sundeep KishanLavanya TripathiRao RameshMurali SharmaPosani Krishna MuraliPriyadarshi PulikondaRaghu BabuSatya,2021,Telugu,Movie Title: A1 Express. Directed by: Dennis Jeevan Kanukolanu. Starring: Sundeep KishanLavanya TripathiRao RameshMurali SharmaPosani Krishna MuraliPriyadarshi PulikondaRaghu BabuSatya. Released in: 2021.
Shaadi Mubarak,Padmasri,SagarDrushya RaghunathRahul Ramakrishna,2021,Telugu,Movie Title: Shaadi Mubarak. Directed by: Padmasri. Starring: SagarDrushya RaghunathRahul Ramakrishna. Released in: 2021.
Jai Sena,V. Samudra,SrikanthSunilSreeramTaraka RatnaPreeti Sharma,2021,Telugu,Movie Title: Jai Sena. Directed by: V. Samudra. Starring: SrikanthSunilSreeramTaraka RatnaPreeti Sharma. Released in: 2021.
Cheppina Evaru Nammaru,Aaryan Krishna,Aaryan KrishnaSupyardee SinghVikram CharyVijayendra,2021,Telugu,Movie Title: Cheppina Evaru Nammaru. Directed by: Aaryan Krishna. Starring: Aaryan KrishnaSupyardee SinghVikram CharyVijayendra. Released in: 2021.
Annapurnamma Gari Manavadu,Narra Shiva Nageswara Rao,BaladithyaVeda SastryVikram CharyVijayendra,2021,Telugu,Movie Title: Annapurnamma Gari Manavadu. Directed by: Narra Shiva Nageswara Rao. Starring: BaladithyaVeda SastryVikram CharyVijayendra. Released in: 2021.
Amma Deevena,Shiva Eturi,AamaniPosani Krishna MuraliAjay Ghosh,2021,Telugu,Movie Title: Amma Deevena. Directed by: Shiva Eturi. Starring: AamaniPosani Krishna MuraliAjay Ghosh. Released in: 2021.
Anaganaga O Athdhi,Dayal Padmanabhan,Chaitanya KrishnaPayal Rajput,2020,Telugu,Movie Title: Anaganaga O Athdhi. Directed by: Dayal Padmanabhan. Starring: Chaitanya KrishnaPayal Rajput. Released in: 2020.
Middle Class Melodies,Vinod Ananthoju,Anand DevarakondaVarsha Bollamma,2020,Telugu,Movie Title: Middle Class Melodies. Directed by: Vinod Ananthoju. Starring: Anand DevarakondaVarsha Bollamma. Released in: 2020.
Meka Suri 2,Trinadh Velisala,Abhinay ReddySyed Sumaya Farahath,2020,Telugu,Movie Title: Meka Suri 2. Directed by: Trinadh Velisala. Starring: Abhinay ReddySyed Sumaya Farahath. Released in: 2020.
Bombhaat,Raghavendra Varma,Chandini ChowdarySai Sushanth ReddySimran Choudhary,2020,Telugu,Movie Title: Bombhaat. Directed by: Raghavendra Varma. Starring: Chandini ChowdarySai Sushanth ReddySimran Choudhary. Released in: 2020.
IIT Krishnamurthy,Sree Vardhan,Dandamudi PruthviMaira DoshiAnandSatya,2020,Telugu,Movie Title: IIT Krishnamurthy. Directed by: Sree Vardhan. Starring: Dandamudi PruthviMaira DoshiAnandSatya. Released in: 2020.
Guvva Gorinka,Bammidi Mohan,SatyadevPriyaa LalChaitanya Madhumita,2020,Telugu,Movie Title: Guvva Gorinka. Directed by: Bammidi Mohan. Starring: SatyadevPriyaa LalChaitanya Madhumita. Released in: 2020.
Dirty Hari,M. S. Raju,Shravan ReddyRuhani SharmaAjay,2020,Telugu,Movie Title: Dirty Hari. Directed by: M. S. Raju. Starring: Shravan ReddyRuhani SharmaAjay. Released in: 2020.
Murder,Anand Chandra,Avancha SahitiKrishnaswamy Srikanth,2020,Telugu,Movie Title: Murder. Directed by: Anand Chandra. Starring: Avancha SahitiKrishnaswamy Srikanth. Released in: 2020.
Dhira,Arun Kumar Rapolu,Bellamkonda Sreenivas,2020,Telugu,Movie Title: Dhira. Directed by: Arun Kumar Rapolu. Starring: Bellamkonda Sreenivas. Released in: 2020.
Solo Brathuke So Better,Subbu,Sai Dharam TejNabha NateshRajendra Prasad,2020,Telugu,Movie Title: Solo Brathuke So Better. Directed by: Subbu. Starring: Sai Dharam TejNabha NateshRajendra Prasad. Released in: 2020.
Krack,Gopichand Malineni,Ravi TejaShruti HaasanVaralaxmi SarathkumarSamuthirakaniP. Ravi ShankarChirag JaniDevi PrasadMouryani,2021,Telugu,Movie Title: Krack. Directed by: Gopichand Malineni. Starring: Ravi TejaShruti HaasanVaralaxmi SarathkumarSamuthirakaniP. Ravi ShankarChirag JaniDevi PrasadMouryani. Released in: 2021.
Mail,Uday Gurrala,Priyadarshi PulikondaHarshith MalgireddyMani AegurlaGouripriya ReddyYennengeeRavinder BommakantiVannarnSrikanth PalleAnusha Netha,2021,Telugu,Movie Title: Mail. Directed by: Uday Gurrala. Starring: Priyadarshi PulikondaHarshith MalgireddyMani AegurlaGouripriya ReddyYennengeeRavinder BommakantiVannarnSrikanth PalleAnusha Netha. Released in: 2021.
Red,Kishore Tirumala,Ram PothineniNivetha PethurajMalvika SharmaAmritha AiyerSampath RajVennela KishoreNassarPosani Krishna MuraliSonia AggarwalSatyaPavitra LokeshNarra SrinivasCharandeep,2021,Telugu,Movie Title: Red. Directed by: Kishore Tirumala. Starring: Ram PothineniNivetha PethurajMalvika SharmaAmritha AiyerSampath RajVennela KishoreNassarPosani Krishna MuraliSonia AggarwalSatyaPavitra LokeshNarra SrinivasCharandeep. Released in: 2021.
Alludu Adhurs,Santhosh Srinivas,Bellamkonda SreenivasNabha NateshAnu EmmanuelSonu SoodPrakash Raj,2021,Telugu,Movie Title: Alludu Adhurs. Directed by: Santhosh Srinivas. Starring: Bellamkonda SreenivasNabha NateshAnu EmmanuelSonu SoodPrakash Raj. Released in: 2021.
Cycle,Aatla Arjun Reddy,Punarnavi BhupalamMahat RaghavendraSudarshanSwetha VarmaAnnapoorna,2021,Telugu,Movie Title: Cycle. Directed by: Aatla Arjun Reddy. Starring: Punarnavi BhupalamMahat RaghavendraSudarshanSwetha VarmaAnnapoorna. Released in: 2021.
Super Over,Praveen Varma,Naveen ChandraChandini ChowdaryAjayHarsha ChemuduRakendu MouliPraveen,2021,Telugu,Movie Title: Super Over. Directed by: Praveen Varma. Starring: Naveen ChandraChandini ChowdaryAjayHarsha ChemuduRakendu MouliPraveen. Released in: 2021.
Bangaru Bullodu,P. V. Giri,Allari NareshPooja JhaveriPosani Krishna MuraliAjay GhoshVennela KishoreTanikella BharaniSatyam RajeshPrudhvi Raj,2021,Telugu,Movie Title: Bangaru Bullodu. Directed by: P. V. Giri. Starring: Allari NareshPooja JhaveriPosani Krishna MuraliAjay GhoshVennela KishoreTanikella BharaniSatyam RajeshPrudhvi Raj. Released in: 2021.
30 Rojullo Preminchadam Ela,Munna,Pradeep MachirajuAmritha AiyerHarsha ChemuduSubhalekha SudhakarPosani Krishna MuraliHemaBhadramHyper AadiSivannarayana NaripeddiSruthi,2021,Telugu,Movie Title: 30 Rojullo Preminchadam Ela. Directed by: Munna. Starring: Pradeep MachirajuAmritha AiyerHarsha ChemuduSubhalekha SudhakarPosani Krishna MuraliHemaBhadramHyper AadiSivannarayana NaripeddiSruthi. Released in: 2021.
Oka Yodhudu,Haari,Daryakish,2020,Telugu,Movie Title: Oka Yodhudu. Directed by: Haari. Starring: Daryakish. Released in: 2020.
1945[b],Sathyasiva,Rana DaggubatiRegina CassandraSathyarajNassar,2022,Telugu,Movie Title: 1945[b]. Directed by: Sathyasiva. Starring: Rana DaggubatiRegina CassandraSathyarajNassar. Released in: 2022.
Atithi Devo Bhava,Polimera Nageshawar,AadiNuveksha,2022,Telugu,Movie Title: Atithi Devo Bhava. Directed by: Polimera Nageshawar. Starring: AadiNuveksha. Released in: 2022.
Bangarraju,Kalyan Krishna,NagarjunaNaga ChaitanyaRamya KrishnaKriti Shetty,2022,Telugu,Movie Title: Bangarraju. Directed by: Kalyan Krishna. Starring: NagarjunaNaga ChaitanyaRamya KrishnaKriti Shetty. Released in: 2022.
Das Ka Dhamki,Vishwak Sen,Vishwak SenNivetha PethurajRao RameshTharun BhasckerAkshara GowdaHyper AadiAjayRohiniPrudhvi RajMahesh Achanta,2023,Telugu,Movie Title: Das Ka Dhamki. Directed by: Vishwak Sen. Starring: Vishwak SenNivetha PethurajRao RameshTharun BhasckerAkshara GowdaHyper AadiAjayRohiniPrudhvi RajMahesh Achanta. Released in: 2023.
Ranga Maarthaanda,Krishna Vamsi,Prakash RajRamya KrishnanBrahmanandamShivathmika RajashekarRahul SipligunjAnasuya BharadwajAadarsh BalakrishnaAli Reza,2023,Telugu,Movie Title: Ranga Maarthaanda. Directed by: Krishna Vamsi. Starring: Prakash RajRamya KrishnanBrahmanandamShivathmika RajashekarRahul SipligunjAnasuya BharadwajAadarsh BalakrishnaAli Reza. Released in: 2023.
Dasara,Srikanth Odela,NaniKeerthy SureshDheekshith ShettyShine Tom ChackoSamuthirakaniShamna KasimSai Kumar,2023,Telugu,Movie Title: Dasara. Directed by: Srikanth Odela. Starring: NaniKeerthy SureshDheekshith ShettyShine Tom ChackoSamuthirakaniShamna KasimSai Kumar. Released in: 2023.
Ravanasura,Sudheer Varma,Ravi TejaSushanthJayaramAnu EmmanuelMegha AkashFariah AbdullahDaksha NagarkarPujita PonnadaTulasi ShivamaniRao RameshSreemukhiMurali SharmaSampath Raj,2023,Telugu,Movie Title: Ravanasura. Directed by: Sudheer Varma. Starring: Ravi TejaSushanthJayaramAnu EmmanuelMegha AkashFariah AbdullahDaksha NagarkarPujita PonnadaTulasi ShivamaniRao RameshSreemukhiMurali SharmaSampath Raj. Released in: 2023.
Meter,Ramesh Kaduri,Kiran AbbavaramAthulya RaviSaptagiriPosani Krishna Murali,2023,Telugu,Movie Title: Meter. Directed by: Ramesh Kaduri. Starring: Kiran AbbavaramAthulya RaviSaptagiriPosani Krishna Murali. Released in: 2023.
Asalu,Uday–Suresh,PoornaRavi Babu,2023,Telugu,Movie Title: Asalu. Directed by: Uday–Suresh. Starring: PoornaRavi Babu. Released in: 2023.
Shaakuntalam,Gunasekhar,Samantha Ruth PrabhuDev MohanSachin KhedekarMohan BabuAditi BalanAnanya NagallaPrakash RajGautamiMadhooKabir BediJisshu SenguptaKabir Duhan SinghAllu ArhaVarshini SounderajanHarish Uthaman,2023,Telugu,Movie Title: Shaakuntalam. Directed by: Gunasekhar. Starring: Samantha Ruth PrabhuDev MohanSachin KhedekarMohan BabuAditi BalanAnanya NagallaPrakash RajGautamiMadhooKabir BediJisshu SenguptaKabir Duhan SinghAllu ArhaVarshini SounderajanHarish Uthaman. Released in: 2023.
10 Rupees,Afzal Shaik,Srikanth ChowtapalliPavitra NarayannMukhtar Khan,2023,Telugu,Movie Title: 10 Rupees. Directed by: Afzal Shaik. Starring: Srikanth ChowtapalliPavitra NarayannMukhtar Khan. Released in: 2023.
Hello Meera,Srinivasu Kakarla,Gargeyi Yellapragada,2023,Telugu,Movie Title: Hello Meera. Directed by: Srinivasu Kakarla. Starring: Gargeyi Yellapragada. Released in: 2023.
Two Souls,K. Shravan Kumar,Trinadh VarmaBhavana SagiMounika ReddyRavi Teja Mahadasyam,2023,Telugu,Movie Title: Two Souls. Directed by: K. Shravan Kumar. Starring: Trinadh VarmaBhavana SagiMounika ReddyRavi Teja Mahadasyam. Released in: 2023.
Virupaksha,Karthik Varma Dandu,Sai Dharam TejSamyuktha MenonBrahmajiSunilRajeev KanakalaSai Chand,2023,Telugu,Movie Title: Virupaksha. Directed by: Karthik Varma Dandu. Starring: Sai Dharam TejSamyuktha MenonBrahmajiSunilRajeev KanakalaSai Chand. Released in: 2023.
Agent,Surender Reddy,Akhil AkkineniMammoottySakshi VaidyaDino MoreaVikramjeet Virk,2023,Telugu,Movie Title: Agent. Directed by: Surender Reddy. Starring: Akhil AkkineniMammoottySakshi VaidyaDino MoreaVikramjeet Virk. Released in: 2023.
Raa Raa Penimiti,Satya Venkat,Nandita Swetha,2023,Telugu,Movie Title: Raa Raa Penimiti. Directed by: Satya Venkat. Starring: Nandita Swetha. Released in: 2023.
Vidyarthi,Madhu Madasu,Chetan CheenuBunny VoxNaveen NeniYerra RaghuYadamma Raju,2023,Telugu,Movie Title: Vidyarthi. Directed by: Madhu Madasu. Starring: Chetan CheenuBunny VoxNaveen NeniYerra RaghuYadamma Raju. Released in: 2023.
Ramabanam,Sriwass,GopichandDimple HayathiNassarJagapathi BabuSubhalekha SudhakarVennela KishoreSachin KhedekarSatyaAliRaja RavindraSaptagiriGetup SrinuKhushbu,2023,Telugu,Movie Title: Ramabanam. Directed by: Sriwass. Starring: GopichandDimple HayathiNassarJagapathi BabuSubhalekha SudhakarVennela KishoreSachin KhedekarSatyaAliRaja RavindraSaptagiriGetup SrinuKhushbu. Released in: 2023.
Ugram,Vijay Kanakamedala,Allari NareshMirnaa MenonIndrajaSharath LohithaswaShatruNaga Mahesh,2023,Telugu,Movie Title: Ugram. Directed by: Vijay Kanakamedala. Starring: Allari NareshMirnaa MenonIndrajaSharath LohithaswaShatruNaga Mahesh. Released in: 2023.
Arangetram,Srinivaas Praban,"Roshan Z, Mustafa Askari, Srinivaas Praban, Pooja, Anirudh T, Laya, Indhu, Srivalli, Vijaya, Sai Sree, Jabardasth SathiPandu",2023,Telugu,"Movie Title: Arangetram. Directed by: Srinivaas Praban. Starring: Roshan Z, Mustafa Askari, Srinivaas Praban, Pooja, Anirudh T, Laya, Indhu, Srivalli, Vijaya, Sai Sree, Jabardasth SathiPandu. Released in: 2023."
Phalana Abbayi Phalana Ammayi,Srinivas Avasarala,Naga ShauryaMalvika NairSrinivas AvasaralaMegha ChowdhuryAshok KumarAbhishek MaharshiSrividhyaVaranasi Soumya ChalamcharlaHarini RaoArjun Prasad,2023,Telugu,Movie Title: Phalana Abbayi Phalana Ammayi. Directed by: Srinivas Avasarala. Starring: Naga ShauryaMalvika NairSrinivas AvasaralaMegha ChowdhuryAshok KumarAbhishek MaharshiSrividhyaVaranasi Soumya ChalamcharlaHarini RaoArjun Prasad. Released in: 2023.
CSI Sanatan,Sivashankar Dev,Aadi SaikumarMisha NarangNandini RaiAli RezaMadhusudhan RaoVasanthi,2023,Telugu,Movie Title: CSI Sanatan. Directed by: Sivashankar Dev. Starring: Aadi SaikumarMisha NarangNandini RaiAli RezaMadhusudhan RaoVasanthi. Released in: 2023.
Organic Mama Hybrid Alludu,S. V. Krishna Reddy,Syed SohelMirnalini RaviRajendra PrasadMeena,2023,Telugu,Movie Title: Organic Mama Hybrid Alludu. Directed by: S. V. Krishna Reddy. Starring: Syed SohelMirnalini RaviRajendra PrasadMeena. Released in: 2023.
Balagam,Venu Yeldandi,PriyadarshiKavya KalyanramSudhakar ReddyMuraleedhar Goud,2023,Telugu,Movie Title: Balagam. Directed by: Venu Yeldandi. Starring: PriyadarshiKavya KalyanramSudhakar ReddyMuraleedhar Goud. Released in: 2023.
Raajahyogam,Ram Ganapathi,Sai RonakAnkita SahaBismi NaasAjay Ghosh,2022,Telugu,Movie Title: Raajahyogam. Directed by: Ram Ganapathi. Starring: Sai RonakAnkita SahaBismi NaasAjay Ghosh. Released in: 2022.
Lucky Lakshman,AR Abhi,Syed SohelMokkshaDevi PrasadRaja RavindraSameer Hasan,2022,Telugu,Movie Title: Lucky Lakshman. Directed by: AR Abhi. Starring: Syed SohelMokkshaDevi PrasadRaja RavindraSameer Hasan. Released in: 2022.
S5 No Exit,Sunny Komalapati,Taraka RatnaP. Sai KumarAliSunilPrince Cecil,2022,Telugu,Movie Title: S5 No Exit. Directed by: Sunny Komalapati. Starring: Taraka RatnaP. Sai KumarAliSunilPrince Cecil. Released in: 2022.
Prathyardhi,Shankar Mudavath,Ravi Varma AdduriRohit BehalAkshata SonawaneNeelima PathakamsettiThagubothu Ramesh,2023,Telugu,Movie Title: Prathyardhi. Directed by: Shankar Mudavath. Starring: Ravi Varma AdduriRohit BehalAkshata SonawaneNeelima PathakamsettiThagubothu Ramesh. Released in: 2023.
Veera Simha Reddy,Gopichand Malineni,Nandamuri BalakrishnaShruti HaasanVaralaxmi SarathkumarHoney RoseDuniya VijayP. Ravi ShankarLalChandrika Ravi,2023,Telugu,Movie Title: Veera Simha Reddy. Directed by: Gopichand Malineni. Starring: Nandamuri BalakrishnaShruti HaasanVaralaxmi SarathkumarHoney RoseDuniya VijayP. Ravi ShankarLalChandrika Ravi. Released in: 2023.
Waltair Veerayya,K. S. Ravindra,ChiranjeeviRavi TejaShruti HaasanCatherine TresaBobby SimhaPrakash Raj,2023,Telugu,Movie Title: Waltair Veerayya. Directed by: K. S. Ravindra. Starring: ChiranjeeviRavi TejaShruti HaasanCatherine TresaBobby SimhaPrakash Raj. Released in: 2023.
Kalyanam Kamaneeyam,Anil Kumar Aalla,Santosh SobhanPriya Bhavani ShankarDevi PrasadKedar ShankarSaptagiri,2023,Telugu,Movie Title: Kalyanam Kamaneeyam. Directed by: Anil Kumar Aalla. Starring: Santosh SobhanPriya Bhavani ShankarDevi PrasadKedar ShankarSaptagiri. Released in: 2023.
Hunt,Mahesh Surapaneni,Sudheer BabuSrikanthBharath,2023,Telugu,Movie Title: Hunt. Directed by: Mahesh Surapaneni. Starring: Sudheer BabuSrikanthBharath. Released in: 2023.
Bhuvana Vijayam,Yalamanda Charan,SunilVasanthi KrishnanVennela KishoreSrinivasa ReddyPrudhvi,2023,Telugu,Movie Title: Bhuvana Vijayam. Directed by: Yalamanda Charan. Starring: SunilVasanthi KrishnanVennela KishoreSrinivasa ReddyPrudhvi. Released in: 2023.
Valentines Night,Anil Gopireddy,Chaitanya MadadiLavanya SahukaraSunilPosani Krishna Murali,2023,Telugu,Movie Title: Valentines Night. Directed by: Anil Gopireddy. Starring: Chaitanya MadadiLavanya SahukaraSunilPosani Krishna Murali. Released in: 2023.
Michael,Ranjit Jeyakodi,Sundeep KishanVijay SethupathiDivyansha Kaushik,2023,Telugu,Movie Title: Michael. Directed by: Ranjit Jeyakodi. Starring: Sundeep KishanVijay SethupathiDivyansha Kaushik. Released in: 2023.
Suvarna Sundari,Surendra Madarapu,Jaya PradaSakshi ChaudharyPoorna,2023,Telugu,Movie Title: Suvarna Sundari. Directed by: Surendra Madarapu. Starring: Jaya PradaSakshi ChaudharyPoorna. Released in: 2023.
Writer Padmabhushan,Shanmukha Prashant,SuhasTina ShilparajAshish VidyarthiRohini,2023,Telugu,Movie Title: Writer Padmabhushan. Directed by: Shanmukha Prashant. Starring: SuhasTina ShilparajAshish VidyarthiRohini. Released in: 2023.
Butta Bomma,Shouree Chandrashekhar T Ramesh,Anikha SurendranArjun DasSurya VashisttaNavya SwamyJagadeesh Prathap Bandari,2023,Telugu,Movie Title: Butta Bomma. Directed by: Shouree Chandrashekhar T Ramesh. Starring: Anikha SurendranArjun DasSurya VashisttaNavya SwamyJagadeesh Prathap Bandari. Released in: 2023.
Amigos,Rajendra Reddy,Kalyan RamAshika Ranganath,2023,Telugu,Movie Title: Amigos. Directed by: Rajendra Reddy. Starring: Kalyan RamAshika Ranganath. Released in: 2023.
Vinaro Bhagyamu Vishnu Katha,Murali Kishor Abburu,Kiran AbbavaramKashmira PardeshiMurali SharmaSubhalekha SudhakarPraveenAamani,2023,Telugu,Movie Title: Vinaro Bhagyamu Vishnu Katha. Directed by: Murali Kishor Abburu. Starring: Kiran AbbavaramKashmira PardeshiMurali SharmaSubhalekha SudhakarPraveenAamani. Released in: 2023.
Sridevi Shoban Babu,Prasanth Kumar Dimmala,Santosh ShobanGouri G. KishanNaga BabuRohini,2023,Telugu,Movie Title: Sridevi Shoban Babu. Directed by: Prasanth Kumar Dimmala. Starring: Santosh ShobanGouri G. KishanNaga BabuRohini. Released in: 2023.
Mr. King,Sasiidhar Chavali,Sharan KumarYasvika NishkalaUrvi Singh,2023,Telugu,Movie Title: Mr. King. Directed by: Sasiidhar Chavali. Starring: Sharan KumarYasvika NishkalaUrvi Singh. Released in: 2023.
Sindhooram,Shyam Tummalapalli,Brigida SagaDharmaSiva Balaji,2023,Telugu,Movie Title: Sindhooram. Directed by: Shyam Tummalapalli. Starring: Brigida SagaDharmaSiva Balaji. Released in: 2023.
Top Gear,Shashikanth,Aadi SaiKumarRiya SumanBrahmajiMime Gopi,2022,Telugu,Movie Title: Top Gear. Directed by: Shashikanth. Starring: Aadi SaiKumarRiya SumanBrahmajiMime Gopi. Released in: 2022.
Katha Venuka Katha,Krishna Chaitanya,Viswant DuddumpudiSrijitha GhoshSunilRaghu BabuSatyam Rajesh,2023,Telugu,Movie Title: Katha Venuka Katha. Directed by: Krishna Chaitanya. Starring: Viswant DuddumpudiSrijitha GhoshSunilRaghu BabuSatyam Rajesh. Released in: 2023.
Kalyanamasthu,Onthala Saai,Shekhar VermaVaibhavi RaoNaga MaheshSharath Lohitashwa,2023,Telugu,Movie Title: Kalyanamasthu. Directed by: Onthala Saai. Starring: Shekhar VermaVaibhavi RaoNaga MaheshSharath Lohitashwa. Released in: 2023.
Bhaag Saale,Pranith Bramandapally,Sri Simha KoduriNeha SolankiRajiv KanakalaJohn Vijay,2023,Telugu,Movie Title: Bhaag Saale. Directed by: Pranith Bramandapally. Starring: Sri Simha KoduriNeha SolankiRajiv KanakalaJohn Vijay. Released in: 2023.
Circle,Neelakanta,Sai RonakArshin MehtaRicha PanaiSnehal Kamath,2023,Telugu,Movie Title: Circle. Directed by: Neelakanta. Starring: Sai RonakArshin MehtaRicha PanaiSnehal Kamath. Released in: 2023.
Lily,M. Sivam,Neha KamadariP. Vedanth VarmaPranathi ReddyMechelle Uday ShahRajeev Govinda Pilai,2023,Telugu,Movie Title: Lily. Directed by: M. Sivam. Starring: Neha KamadariP. Vedanth VarmaPranathi ReddyMechelle Uday ShahRajeev Govinda Pilai. Released in: 2023.
Mohankrishnas Gang Leader,Gangarapu Sree Laxman,Singuluri Mohan KrishnaHarini ReddySuman,2023,Telugu,Movie Title: Mohankrishnas Gang Leader. Directed by: Gangarapu Sree Laxman. Starring: Singuluri Mohan KrishnaHarini ReddySuman. Released in: 2023.
O Saathiya,Divya Bhavana,Aryan GowraMishti ChakrabortyDevi Prasad,2023,Telugu,Movie Title: O Saathiya. Directed by: Divya Bhavana. Starring: Aryan GowraMishti ChakrabortyDevi Prasad. Released in: 2023.
Rangabali,Pawan Basamsetti,Naga ShauryaYukti TharejaShine Tom ChackoRajkumar Kasireddy,2023,Telugu,Movie Title: Rangabali. Directed by: Pawan Basamsetti. Starring: Naga ShauryaYukti TharejaShine Tom ChackoRajkumar Kasireddy. Released in: 2023.
Rudrangi,Ajay Samrat,Jagapati BabuMamta MohandasVimala RamanAshish Gandh,2023,Telugu,Movie Title: Rudrangi. Directed by: Ajay Samrat. Starring: Jagapati BabuMamta MohandasVimala RamanAshish Gandh. Released in: 2023.
Baby,Sai Rajesh Neelam,Anand DevarakondaViraj AshwinVaishnavi ChaitanyaLirisha Kunapareddy,2023,Telugu,Movie Title: Baby. Directed by: Sai Rajesh Neelam. Starring: Anand DevarakondaViraj AshwinVaishnavi ChaitanyaLirisha Kunapareddy. Released in: 2023.
Revenge,Shrinivas Rettadi,Babu PedapudiNeha PandeyNagesh KarraIndu Anand,2023,Telugu,Movie Title: Revenge. Directed by: Shrinivas Rettadi. Starring: Babu PedapudiNeha PandeyNagesh KarraIndu Anand. Released in: 2023.
Hidimbha,Aneel Kanneganti,Ashwin BabuNandita SwethaSrinivasa ReddyMakarand DeshpandeVidyullekha Raman,2023,Telugu,Movie Title: Hidimbha. Directed by: Aneel Kanneganti. Starring: Ashwin BabuNandita SwethaSrinivasa ReddyMakarand DeshpandeVidyullekha Raman. Released in: 2023.
Ala Ila Ela,Dwarki Raghav,Shakthi VasudevanPoornaRekha VedavyasRaja ChemboluHariprriyaSayaji ShindeBrahmanandamPriyanka Kothari,2023,Telugu,Movie Title: Ala Ila Ela. Directed by: Dwarki Raghav. Starring: Shakthi VasudevanPoornaRekha VedavyasRaja ChemboluHariprriyaSayaji ShindeBrahmanandamPriyanka Kothari. Released in: 2023.
Detective Karthik,Venkat Narendra,"Rajath Raghav, Goldie Nissy, Abhilash Bandari, Shruti Mol, Anusha Nuthula, Hasini Rai, Madee",2023,Telugu,"Movie Title: Detective Karthik. Directed by: Venkat Narendra. Starring: Rajath Raghav, Goldie Nissy, Abhilash Bandari, Shruti Mol, Anusha Nuthula, Hasini Rai, Madee. Released in: 2023."
Annapurna Photo Studio,Chendu Muddu,Chaitanya MadadiLavanya SahukaraLalith AdithyaViva Raghava,2023,Telugu,Movie Title: Annapurna Photo Studio. Directed by: Chendu Muddu. Starring: Chaitanya MadadiLavanya SahukaraLalith AdithyaViva Raghava. Released in: 2023.
Her - Chapter 1,Sreedhar Swaraghav,Ruhani SharmaPradeep RudraJeevan KumarVikas Vasishta,2023,Telugu,Movie Title: Her - Chapter 1. Directed by: Sreedhar Swaraghav. Starring: Ruhani SharmaPradeep RudraJeevan KumarVikas Vasishta. Released in: 2023.
Natho Nenu,Santhi Kumar Turlapati,P. Sai KumarSrinivas SaiAditya OmDeepali RajputAishwarya VullingalaVijayachanderRajeev KanakalaSameerC. V. L. Narasimha RaoGautam RajuM.S.ChowdaryBhadramSuman Setty,2023,Telugu,Movie Title: Natho Nenu. Directed by: Santhi Kumar Turlapati. Starring: P. Sai KumarSrinivas SaiAditya OmDeepali RajputAishwarya VullingalaVijayachanderRajeev KanakalaSameerC. V. L. Narasimha RaoGautam RajuM.S.ChowdaryBhadramSuman Setty. Released in: 2023.
Bro,Samuthirakani,Pawan KalyanSai Dharam TejKetika SharmaPriya Prakash VarrierBrahmanandamTanikella Bharani,2023,Telugu,Movie Title: Bro. Directed by: Samuthirakani. Starring: Pawan KalyanSai Dharam TejKetika SharmaPriya Prakash VarrierBrahmanandamTanikella Bharani. Released in: 2023.
Okkaroju...48 Hours,Niranjan Bandi,Aditya Reddy BadveliRekha Nirosha,2023,Telugu,Movie Title: Okkaroju...48 Hours. Directed by: Niranjan Bandi. Starring: Aditya Reddy BadveliRekha Nirosha. Released in: 2023.
7:11 PM,Chaitu Madala,Saahas PagadalaDeepika ReddyTess WalshRaghu Karamanchi,2023,Telugu,Movie Title: 7:11 PM. Directed by: Chaitu Madala. Starring: Saahas PagadalaDeepika ReddyTess WalshRaghu Karamanchi. Released in: 2023.
Maya Petika,Ramesh Raparthi,Payal RajputViraj AshwinSimrat Kaur,2023,Telugu,Movie Title: Maya Petika. Directed by: Ramesh Raparthi. Starring: Payal RajputViraj AshwinSimrat Kaur. Released in: 2023.
Samajavaragamana,Ram Abbaraju,Sree VishnuReba Monica JohnVennela KishoreSudarshanSrikanth IyengarRaghu BabuNareshRajeev Kanakala,2023,Telugu,Movie Title: Samajavaragamana. Directed by: Ram Abbaraju. Starring: Sree VishnuReba Monica JohnVennela KishoreSudarshanSrikanth IyengarRaghu BabuNareshRajeev Kanakala. Released in: 2023.
Spy,Garry BH,Nikhil SiddharthaIswarya MenonJisshu SenguptaAbhinav GomatamMakarand Deshpande,2023,Telugu,Movie Title: Spy. Directed by: Garry BH. Starring: Nikhil SiddharthaIswarya MenonJisshu SenguptaAbhinav GomatamMakarand Deshpande. Released in: 2023.
