Title,Director,Cast,Year,Language,movie_info
Jagadguru Adi Shankara,J.K.Bharavi,"Nagarjuna, Mohan Babu, Kaushik Babu, Sai Kumar, Srihari, Suman",2013,Telugu,"Movie Title: Jagadguru Adi Shankara. Directed by: J.K.Bharavi. Starring: Nagarjuna, Mohan Babu, Kaushik Babu, Sai Kumar, Srihari, Suman. Released in: 2013."
Dalam,Jeevan Reddy,"Naveen Chandra, Piaa Bajpai, Abhimanyu Singh, Kishore, Nassar",2013,Telugu,"Movie Title: Dalam. Directed by: Jeevan Reddy. Starring: Naveen Chandra, Piaa Bajpai, Abhimanyu Singh, Kishore, Nassar. Released in: 2013."
Adda,Sai Karthik,"Sushanth, Shanvi Srivastava",2013,Telugu,"Movie Title: Adda. Directed by: Sai Karthik. Starring: Sushanth, Shanvi Srivastava. Released in: 2013."
Antaku Mundu Aa Taruvaata,Mohan Krishna Indraganti,"Sumanth Ashwin, Eesha",2013,Telugu,"Movie Title: Antaku Mundu Aa Taruvaata. Directed by: Mohan Krishna Indraganti. Starring: Sumanth Ashwin, Eesha. Released in: 2013."
Telisi Teliyaka,K. Jayaprakash,"Geethanandh, Maithili, Krishna, Hasini",2013,Telugu,"Movie Title: Telisi Teliyaka. Directed by: K. Jayaprakash. Starring: Geethanandh, Maithili, Krishna, Hasini. Released in: 2013."
Athadu Aame o Scooter,Gangarapu Lakshman,"Vennela Kishore, Priyanka Chabra",2013,Telugu,"Movie Title: Athadu Aame o Scooter. Directed by: Gangarapu Lakshman. Starring: Vennela Kishore, Priyanka Chabra. Released in: 2013."
Prema Oka Maikam,Chandu,"Rahul, Charmee Kaur, Ravi Babu, Saranya Nag",2013,Telugu,"Movie Title: Prema Oka Maikam. Directed by: Chandu. Starring: Rahul, Charmee Kaur, Ravi Babu, Saranya Nag. Released in: 2013."
Waiting for You,Sunil Kumar Reddy,"Sai Anil, Gayathri, Raghu Babu",2013,Telugu,"Movie Title: Waiting for You. Directed by: Sunil Kumar Reddy. Starring: Sai Anil, Gayathri, Raghu Babu. Released in: 2013."
Toofan,Apoorva Lakhia,"Ram Charan Tej, Priyanka Chopra, Prakash Raj, Srihari, Mahie Gill, Tanikella Bharani",2013,Telugu,"Movie Title: Toofan. Directed by: Apoorva Lakhia. Starring: Ram Charan Tej, Priyanka Chopra, Prakash Raj, Srihari, Mahie Gill, Tanikella Bharani. Released in: 2013."
Kiss,Adivi Sesh,"Adivi Sesh, Priya Banerjee, Bharath Reddy",2013,Telugu,"Movie Title: Kiss. Directed by: Adivi Sesh. Starring: Adivi Sesh, Priya Banerjee, Bharath Reddy. Released in: 2013."
Naa Sami Ranga,Subramanyam Pachcha,"Dilip, Saikumar Pampana, SreeTeja, Yashaswini, Priyanka, Ashish Vidyarthi",2013,Telugu,"Movie Title: Naa Sami Ranga. Directed by: Subramanyam Pachcha. Starring: Dilip, Saikumar Pampana, SreeTeja, Yashaswini, Priyanka, Ashish Vidyarthi. Released in: 2013."
Om 3D,Sunil Reddy,"Nandamuri Kalyan Ram, Kriti Kharbanda, Nikesha Patel",2013,Telugu,"Movie Title: Om 3D. Directed by: Sunil Reddy. Starring: Nandamuri Kalyan Ram, Kriti Kharbanda, Nikesha Patel. Released in: 2013."
Kaalicharan,Praveen Sri,"Chaitanya Krishna, Chandini, Pankaj Kesari, Kavitha",2013,Telugu,"Movie Title: Kaalicharan. Directed by: Praveen Sri. Starring: Chaitanya Krishna, Chandini, Pankaj Kesari, Kavitha. Released in: 2013."
Entha Andanga Unnave,S. I. Mahendra,"Ajay Manthena, Jiyana, Kasi Viswanath, Sivanarayana",2013,Telugu,"Movie Title: Entha Andanga Unnave. Directed by: S. I. Mahendra. Starring: Ajay Manthena, Jiyana, Kasi Viswanath, Sivanarayana. Released in: 2013."
Emo Gurram Egaravachu,Chandra Siddhartha,Sumanth,2014,Telugu,Movie Title: Emo Gurram Egaravachu. Directed by: Chandra Siddhartha. Starring: Sumanth. Released in: 2014.
Heart Attack,Puri Jagannadh,"Nithiin, Adah Sharma",2014,Telugu,"Movie Title: Heart Attack. Directed by: Puri Jagannadh. Starring: Nithiin, Adah Sharma. Released in: 2014."
